Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,22u,
"C2, C3, C5",0805,3,0.1u,
"C4, C6, C7",0805,3,1u,
D1,0805,1,GREEN,
"D2, D3, D4",D_SOD-323,3,D_TVS,
J1,USB_Micro-AB_Molex_47590-0001,1,USB_B_Micro,
J2,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04,
"R1, R10, R3, R4, R8, R9",0805,6,0,
"R11, R12, R2, R5, R6, R7",0805,6,10k,
R13,0805,1,470,
"SW1, SW2",SW_Push_1P1T_NO_CK_KMR2,2,SW_Push,
"TP1, TP2, TP3",TestPoint_THTPad_D1.5mm_Drill0.7mm,3,TestPoint,
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U2,SOT-23-5,1,AP2112K-3.3,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,CAT24C256,
